Model Name,Channel,Train Dataset,Test Dataset,Accuracy,Precision,Epoch,Batch Size,QF
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,100
resnet50,1,Tufts Face Database,JPEG,72.22222222222223,0.7641751437417073,120,4,100
resnet50,1,JPEG,JPEG,75.0,0.7594474153297682,120,4,100
resnet50,1,JPEG,Tufts Face Database,73.87387387387388,0.7446139657444005,120,4,100
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,80
resnet50,1,Tufts Face Database,JPEG,71.29629629629629,0.7570596538675967,120,4,80
resnet50,1,JPEG,JPEG,61.111111111111114,0.7774583517617574,120,4,80
resnet50,1,JPEG,Tufts Face Database,62.16216216216216,0.8077966101694916,120,4,80
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,60
resnet50,1,Tufts Face Database,JPEG,73.14814814814815,0.7668497619760977,120,4,60
resnet50,1,JPEG,JPEG,76.85185185185185,0.7904388683212213,120,4,60
resnet50,1,JPEG,Tufts Face Database,76.57657657657657,0.7878917378917378,120,4,60
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,40
resnet50,1,Tufts Face Database,JPEG,70.37037037037037,0.7411723426212591,120,4,40
resnet50,1,JPEG,JPEG,68.51851851851852,0.7006990622335891,120,4,40
resnet50,1,JPEG,Tufts Face Database,71.17117117117117,0.7295488721804512,120,4,40
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,20
resnet50,1,Tufts Face Database,JPEG,60.18518518518518,0.650829774389473,120,4,20
resnet50,1,JPEG,JPEG,63.888888888888886,0.6622244899958984,120,4,20
resnet50,1,JPEG,Tufts Face Database,63.06306306306306,0.6568864468864468,120,4,20
