Model Name,Channel,Train Dataset,Test Dataset,Accuracy,Precision,QF
CNN,3,CIFAR10,CIFAR10,70.53285256410257,0.7051046398564356,20
CNN,3,CIFAR10,JPEG,26.963141025641026,0.36423078695818706,20
CNN,3,JPEG,JPEG,60.45673076923077,0.6113146709381214,20
CNN,3,JPEG,CIFAR10,32.45192307692308,0.4525098177130874,20
CNN,3,CIFAR10,CIFAR10,70.53285256410257,0.7051046398564356,40
CNN,3,CIFAR10,JPEG,28.67588141025641,0.3788099655811811,40
CNN,3,JPEG,JPEG,63.411458333333336,0.6416814318717451,40
CNN,3,JPEG,CIFAR10,32.3818108974359,0.49551082891365317,40
CNN,3,CIFAR10,CIFAR10,70.53285256410257,0.7051046398564356,60
CNN,3,CIFAR10,JPEG,29.61738782051282,0.385015996286448,60
CNN,3,JPEG,JPEG,64.5733173076923,0.6444647645600472,60
CNN,3,JPEG,CIFAR10,33.854166666666664,0.47881865650714045,60
CNN,3,CIFAR10,CIFAR10,70.53285256410257,0.7051046398564356,80
CNN,3,CIFAR10,JPEG,30.30849358974359,0.396992551877237,80
CNN,3,JPEG,JPEG,66.4863782051282,0.6673972961540372,80
CNN,3,JPEG,CIFAR10,35.94751602564103,0.5149250028829231,80
VGG16,3,CIFAR10,CIFAR10,84.94,0.8501366245850616,20
VGG16,3,CIFAR10,JPEG,63.15,0.6819256284537988,20
VGG16,3,JPEG,JPEG,74.96,0.7489013738407813,20
VGG16,3,JPEG,CIFAR10,77.96,0.7210869033630367,20
VGG16,3,CIFAR10,CIFAR10,84.94,0.8501366245850616,40
VGG16,3,CIFAR10,JPEG,71.97,0.6789327720097944,40
VGG16,3,JPEG,JPEG,76.92,0.7853209789973533,40
VGG16,3,JPEG,CIFAR10,76.44,0.7929333525377713,40
VGG16,3,CIFAR10,CIFAR10,84.94,0.8501366245850616,60
VGG16,3,CIFAR10,JPEG,75.44,0.7715122752502815,60
VGG16,3,JPEG,JPEG,78.77,0.7959297435912848,60
VGG16,3,JPEG,CIFAR10,80.69,0.8163779595529757,60
VGG16,3,CIFAR10,CIFAR10,84.94,0.8501366245850616,80
VGG16,3,CIFAR10,JPEG,80.21,0.8098776539127487,80
VGG16,3,JPEG,JPEG,82.83,0.8276770890411971,80
VGG16,3,JPEG,CIFAR10,83.33,0.8379350395254253,80
VGG16,3,CIFAR10,CIFAR10,84.94,0.8501366245850616,100
VGG16,3,CIFAR10,JPEG,84.83,0.8489910086510332,100
VGG16,3,JPEG,JPEG,84.32,0.8473141118120294,100
VGG16,3,JPEG,CIFAR10,84.25,0.8466229724617254,100
