Model Name,Channel,Train Dataset,Test Dataset,Accuracy,Precision,Epoch,Batch Size,QF
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,100
resnet50,1,Tufts Face Database,JPEG,72.22222222222223,0.7641751437417073,120,4,100
resnet50,1,JPEG,JPEG,75.0,0.7594474153297682,120,4,100
resnet50,1,JPEG,Tufts Face Database,73.87387387387388,0.7446139657444005,120,4,100
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,80
resnet50,1,Tufts Face Database,JPEG,71.29629629629629,0.7570596538675967,120,4,80
resnet50,1,JPEG,JPEG,76.36363636363636,0.7779352226720648,120,4,80
resnet50,1,JPEG,Tufts Face Database,62.16216216216216,0.8077966101694916,120,4,80
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,60
resnet50,1,Tufts Face Database,JPEG,73.14814814814815,0.7668497619760977,120,4,60
resnet50,1,JPEG,JPEG,69.54545454545455,0.7082859900052558,120,4,60
resnet50,1,JPEG,Tufts Face Database,76.57657657657657,0.7878917378917378,120,4,60
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,40
resnet50,1,Tufts Face Database,JPEG,70.37037037037037,0.7411723426212591,120,4,40
resnet50,1,JPEG,JPEG,68.51851851851852,0.7006990622335891,120,4,40
resnet50,1,JPEG,Tufts Face Database,71.17117117117117,0.7295488721804512,120,4,40
resnet50,1,Tufts Face Database,Tufts Face Database,72.07207207207207,0.7588243597499496,120,4,20
resnet50,1,Tufts Face Database,JPEG,60.18518518518518,0.650829774389473,120,4,20
resnet50,1,JPEG,JPEG,63.888888888888886,0.6622244899958984,120,4,20
resnet50,1,JPEG,Tufts Face Database,63.06306306306306,0.6568864468864468,120,4,20
resnet50,1,jpeg2000_removed,jpeg2000_removed,55.85585585585586,0.7,120,4,100
resnet50,1,jpeg2000_removed,JPEG,50.0,0.626739479417498,120,4,100
resnet50,1,JPEG,jpeg2000_removed,65.76576576576576,0.6727777777777778,120,4,100
resnet50,1,jpeg2000_removed,jpeg2000_removed,55.85585585585586,0.7,120,4,80
resnet50,1,jpeg2000_removed,JPEG,50.45454545454545,0.6304961982818209,120,4,80
resnet50,1,JPEG,jpeg2000_removed,67.56756756756756,0.6903341687552214,120,4,80
resnet50,1,jpeg2000_removed,jpeg2000_removed,55.85585585585586,0.7,120,4,60
resnet50,1,jpeg2000_removed,JPEG,50.90909090909091,0.631739479417498,120,4,60
resnet50,1,JPEG,jpeg2000_removed,72.07207207207207,0.7329763219236904,120,4,60
resnet50,1,jpeg2000_removed,jpeg2000_removed,55.85585585585586,0.7,120,4,40
resnet50,1,jpeg2000_removed,JPEG,46.81818181818182,0.6178146453089245,120,4,40
resnet50,1,JPEG,jpeg2000_removed,63.96396396396396,0.670133572567783,120,4,40
resnet50,1,jpeg2000_removed,jpeg2000_removed,55.85585585585586,0.7,120,4,20
resnet50,1,jpeg2000_removed,JPEG,46.81818181818182,0.611183085919928,120,4,20
resnet50,1,JPEG,jpeg2000_removed,72.07207207207207,0.7364285714285714,120,4,20
resnet50,1,compressed_video_enhancement,compressed_video_enhancement,77.47747747747748,0.7955041449778293,120,4,100
resnet50,1,compressed_video_enhancement,JPEG,74.0909090909091,0.7657102525202653,120,4,100
resnet50,1,JPEG,compressed_video_enhancement,72.97297297297297,0.7674604072398189,120,4,100
resnet50,1,compressed_video_enhancement,compressed_video_enhancement,77.47747747747748,0.7955041449778293,120,4,80
resnet50,1,compressed_video_enhancement,JPEG,74.0909090909091,0.7631660970608338,120,4,80
resnet50,1,JPEG,compressed_video_enhancement,76.57657657657657,0.7769924812030075,120,4,80
resnet50,1,compressed_video_enhancement,compressed_video_enhancement,77.47747747747748,0.7955041449778293,120,4,60
resnet50,1,compressed_video_enhancement,JPEG,80.0,0.8174004192872116,120,4,60
resnet50,1,JPEG,compressed_video_enhancement,75.67567567567568,0.7798988005997002,120,4,60
resnet50,1,compressed_video_enhancement,compressed_video_enhancement,77.47747747747748,0.7955041449778293,120,4,40
resnet50,1,compressed_video_enhancement,JPEG,68.63636363636364,0.7230751589884716,120,4,40
resnet50,1,JPEG,compressed_video_enhancement,65.76576576576576,0.6801601830663616,120,4,40
resnet50,1,compressed_video_enhancement,compressed_video_enhancement,77.47747747747748,0.7955041449778293,120,4,20
resnet50,1,compressed_video_enhancement,JPEG,65.0,0.693328559493973,120,4,20
resnet50,1,JPEG,compressed_video_enhancement,61.26126126126126,0.6407037037037038,120,4,20
