Model Name,Channel,Train Dataset,Test Dataset,Accuracy,Precision,Epoch,Batch Size,QF
efficientnet_b3,3,combined_ycbcr,combined_ycbcr,80.0,0.8197197938385112,40,32,80
efficientnet_b3,3,combined_ycbcr,JPEG,74.13333333333334,0.7779138492732176,40,32,80
efficientnet_b3,3,JPEG,combined_ycbcr,75.0,0.7779138492732176,40,32,80
efficientnet_b3,3,JPEG,JPEG,91.83333333333333,0.9183477897298769,40,32,80
efficientnet_b3,3,combined_ycbcr,combined_ycbcr,80.0,0.8197197938385112,40,32,60
efficientnet_b3,3,combined_ycbcr,JPEG,73.93333333333334,0.7755072373801127,40,32,60
efficientnet_b3,3,JPEG,combined_ycbcr,76.2,0.7755072373801127,40,32,60
efficientnet_b3,3,JPEG,JPEG,95.2,0.9532010695242421,40,32,60
efficientnet_b3,3,combined_ycbcr,combined_ycbcr,83.0,0.840896730231786,40,32,80
efficientnet_b3,3,combined_ycbcr,JPEG,78.36666666666666,0.797051330336276,40,32,80
efficientnet_b3,3,JPEG,combined_ycbcr,66.6,0.797051330336276,40,32,80
efficientnet_b3,3,JPEG,JPEG,93.1,0.9318146372734087,40,32,80
