QF,class,avg_psnr_original,avg_ssim_original,avg_psnr_removed,avg_ssim_removed
80,0,inf,1.0,8.84517181051928,0.15153502671381797
80,1,inf,1.0,10.128963247631704,0.11173897858295867
80,2,inf,1.0,9.109153880272892,0.09987456148696845
80,3,inf,1.0,8.897967808924028,0.08720363510851695
80,4,inf,1.0,10.042718533908234,0.11356556015502539
80,5,inf,1.0,9.057975721843349,0.08421690318255161
80,6,inf,1.0,9.505065843748161,0.08298408383775602
80,7,inf,1.0,9.60447360555305,0.1109853419173214
80,8,inf,1.0,9.35575372340364,0.1038890462170874
80,9,inf,1.0,9.36762321011759,0.14715839522418556
80,10,inf,1.0,9.403854096063354,0.09722129449531022
80,11,inf,1.0,9.255327806835918,0.09418080957284428
80,12,inf,1.0,9.23298746717488,0.11375595011994616
80,13,inf,1.0,9.069521958583493,0.08285065174893838
80,14,inf,1.0,9.801904647512755,0.0800852544536711
80,15,inf,1.0,9.33314215899983,0.10584304661398189
80,16,inf,1.0,9.338062944514938,0.09887091109952198
80,17,inf,1.0,9.89077217250998,0.119192876180378
80,18,inf,1.0,10.585462198848102,0.09455761418050533
80,19,inf,1.0,8.886002837687922,0.1047987879763378
60,0,inf,1.0,8.891702093596722,0.15451697614473614
60,1,inf,1.0,10.181398699815064,0.11912262573905714
60,2,inf,1.0,9.148379204462152,0.10418781510982188
60,3,inf,1.0,8.926784296072368,0.09188912306857373
60,4,inf,1.0,10.089083094117008,0.12234647294708383
60,5,inf,1.0,9.100054944799526,0.088935239653699
60,6,inf,1.0,9.564193126119267,0.08825957539146229
60,7,inf,1.0,9.649275087782918,0.11905765953396388
60,8,inf,1.0,9.385276254015043,0.10701239036923998
60,9,inf,1.0,9.382744676317184,0.15315104101331892
60,10,inf,1.0,9.459198825459778,0.10450224207641762
60,11,inf,1.0,9.300096997195181,0.09978123506194139
60,12,inf,1.0,9.272248758762323,0.11760084702630845
60,13,inf,1.0,9.118517297483477,0.08723621284992746
60,14,inf,1.0,9.853391154025887,0.0869773583336488
60,15,inf,1.0,9.370403123878157,0.10856027531722619
60,16,inf,1.0,9.390696647733906,0.10588241630626008
60,17,inf,1.0,9.946779945263915,0.1298079229570932
60,18,inf,1.0,10.650813203089761,0.10269870172949538
60,19,inf,1.0,8.911104022531434,0.10653010049163326
40,0,inf,1.0,8.935454735057704,0.15546203786005025
40,1,inf,1.0,10.2220223948106,0.12094871909156259
40,2,inf,1.0,9.177690875891033,0.1049954575353985
40,3,inf,1.0,8.951772163255095,0.09388315983123607
40,4,inf,1.0,10.119408807791526,0.12791742478413431
40,5,inf,1.0,9.140484106936125,0.09290438271838991
40,6,inf,1.0,9.607452406160261,0.0929840613342721
40,7,inf,1.0,9.683826509054054,0.12122237384076723
40,8,inf,1.0,9.421823162922982,0.11210434546193261
40,9,inf,1.0,9.420724890229373,0.15720975762329328
40,10,inf,1.0,9.497608987918635,0.10895159078797548
40,11,inf,1.0,9.331980975416789,0.10313963756511053
40,12,inf,1.0,9.302802055737574,0.1224083258895518
40,13,inf,1.0,9.14706018940419,0.09122945101928219
40,14,inf,1.0,9.90133439446832,0.09226353844798003
40,15,inf,1.0,9.398650785027268,0.11082237375800771
40,16,inf,1.0,9.429561419418627,0.1100926711232097
40,17,inf,1.0,9.982145560492336,0.13527133151057055
40,18,inf,1.0,10.69349105149792,0.11105981606733054
40,19,inf,1.0,8.944894507788993,0.10745267265315459
20,0,inf,1.0,8.95280132043243,0.15361071824207678
20,1,inf,1.0,10.25244877982966,0.12309381860240276
20,2,inf,1.0,9.20017619444417,0.10788805343685146
20,3,inf,1.0,8.987114762773727,0.09910880909101782
20,4,inf,1.0,10.133061432886834,0.1328327390166861
20,5,inf,1.0,9.172897800635214,0.09603393994891483
20,6,inf,1.0,9.64189642768154,0.0938617930672036
20,7,inf,1.0,9.729337150468096,0.12821580161966128
20,8,inf,1.0,9.480535403029176,0.11883981175283292
20,9,inf,1.0,9.506481376059597,0.16132685288309745
20,10,inf,1.0,9.526120328141516,0.11478984901177094
20,11,inf,1.0,9.370682277234609,0.10458066525420978
20,12,inf,1.0,9.329968892160283,0.1241568282197998
20,13,inf,1.0,9.193914378993098,0.09337018916653088
20,14,inf,1.0,9.966116931113103,0.09676602702522805
20,15,inf,1.0,9.437506084967028,0.11749785446935417
20,16,inf,1.0,9.474683070895502,0.11272040699034402
20,17,inf,1.0,10.029223040559508,0.1439335812155509
20,18,inf,1.0,10.747881572664955,0.11832511576029711
20,19,inf,1.0,8.9469437570548,0.11702973573276389
